Year,Nationality,الجنسية,Sex,الجنس,Governorate,المحافظات,Population
2014,Non-Bahraini,غير بحريني,Male,ذكر,Muharraq,المحرق,67437
2014,Non-Bahraini,غير بحريني,Male,ذكر,Northern,الشمالية,64294
2014,Non-Bahraini,غير بحريني,Female,انثى,Muharraq,المحرق,35688
2014,Non-Bahraini,غير بحريني,Female,انثى,Southern,الجنوبية,38722
2015,Bahraini,بحريني,Male,ذكر,Southern,الجنوبية,65991
2015,Bahraini,بحريني,Female,انثى,Capital,العاصمة,83327
2015,Non-Bahraini,غير بحريني,Male,ذكر,Northern,الشمالية,67956
2015,Non-Bahraini,غير بحريني,Male,ذكر,Southern,الجنوبية,107036
2015,Non-Bahraini,غير بحريني,Female,انثى,Northern,الشمالية,31548
2015,Non-Bahraini,غير بحريني,Female,انثى,Southern,الجنوبية,39725
2016,Bahraini,بحريني,Male,ذكر,Capital,العاصمة,84909
2016,Bahraini,بحريني,Male,ذكر,Northern,الشمالية,120476
2016,Bahraini,بحريني,Male,ذكر,Southern,الجنوبية,67110
2016,Bahraini,بحريني,Female,انثى,Southern,الجنوبية,64020
2016,Non-Bahraini,غير بحريني,Male,ذكر,Capital,العاصمة,282945
2016,Non-Bahraini,غير بحريني,Male,ذكر,Southern,الجنوبية,115836
2016,Non-Bahraini,غير بحريني,Female,انثى,Muharraq,المحرق,38000
2017,Bahraini,بحريني,Male,ذكر,Capital,العاصمة,85205
2017,Bahraini,بحريني,Male,ذكر,Northern,الشمالية,124848
2017,Bahraini,بحريني,Male,ذكر,Southern,الجنوبية,67494
2017,Non-Bahraini,غير بحريني,Male,ذكر,Capital,العاصمة,307439
2017,Non-Bahraini,غير بحريني,Male,ذكر,Northern,الشمالية,78850
2018,Bahraini,بحريني,Male,ذكر,Southern,الجنوبية,68122
2018,Bahraini,بحريني,Female,انثى,Capital,العاصمة,84860
2018,Bahraini,بحريني,Female,انثى,Northern,الشمالية,125009
2018,Non-Bahraini,غير بحريني,Female,انثى,Muharraq,المحرق,40385
2018,Non-Bahraini,غير بحريني,Female,انثى,Southern,الجنوبية,41067
2019,Bahraini,بحريني,Male,ذكر,Capital,العاصمة,85032
2019,Bahraini,بحريني,Male,ذكر,Muharraq,المحرق,67986
2019,Bahraini,بحريني,Male,ذكر,Southern,الجنوبية,68691
2019,Bahraini,بحريني,Female,انثى,Capital,العاصمة,84395
2019,Non-Bahraini,غير بحريني,Female,انثى,Northern,الشمالية,35332
2020,Bahraini,بحريني,Female,انثى,Capital,العاصمة,83900
2021,Bahraini,بحريني,Males,ذكور,Muharraq,المحرق,69889
2021,Bahraini,بحريني,Males,ذكور,Southern,الجنوبية,67111
2021,Bahraini,بحريني,Females,إناث,Southern,الجنوبية,64098
2021,Non-Bahraini,غير بحريني,Males,ذكور,Northern,الشمالية,71985
2010,Bahraini,بحريني,Male,ذكر,Not Stated,غير مبين,0
2010,Bahraini,بحريني,Female,انثى,Northern,الشمالية,96597
2010,Bahraini,بحريني,Female,انثى,Central,الوسطى,85528
2010,Non-Bahraini,غير بحريني,Male,ذكر,Capital,العاصمة,188795
2010,Non-Bahraini,غير بحريني,Female,انثى,Southern,الجنوبية,15935
2010,Non-Bahraini,غير بحريني,Female,انثى,Not Stated,غير مبين,1805
2011,Bahraini,بحريني,Male,ذكر,Northern,الشمالية,101366
2011,Bahraini,بحريني,Male,ذكر,Southern,الجنوبية,18003
2011,Bahraini,بحريني,Female,انثى,Northern,الشمالية,99506
2011,Non-Bahraini,غير بحريني,Male,ذكر,Central,الوسطى,106782
2011,Non-Bahraini,غير بحريني,Female,انثى,Southern,الجنوبية,15506
2011,Non-Bahraini,غير بحريني,Female,انثى,Not Stated,غير مبين,2223
2012,Bahraini,بحريني,Male,ذكر,Capital,العاصمة,82740
2012,Bahraini,بحريني,Male,ذكر,Muharraq,المحرق,56403
2012,Bahraini,بحريني,Female,انثى,Muharraq,المحرق,53760
2012,Non-Bahraini,غير بحريني,Male,ذكر,Southern,الجنوبية,93514
2012,Non-Bahraini,غير بحريني,Female,انثى,Capital,العاصمة,68698
2012,Non-Bahraini,غير بحريني,Female,انثى,Southern,الجنوبية,33842
2013,Bahraini,بحريني,Male,ذكر,Muharraq,المحرق,58240
2013,Bahraini,بحريني,Male,ذكر,Southern,الجنوبية,61947
2013,Non-Bahraini,غير بحريني,Male,ذكر,Northern,الشمالية,62965
2013,Non-Bahraini,غير بحريني,Female,انثى,Capital,العاصمة,73240
2013,Non-Bahraini,غير بحريني,Female,انثى,Muharraq,المحرق,28694
2013,Non-Bahraini,غير بحريني,Female,انثى,Northern,الشمالية,26402
2014,Bahraini,بحريني,Female,انثى,Southern,الجنوبية,60118
2014,Non-Bahraini,غير بحريني,Female,انثى,Northern,الشمالية,29378
2015,Bahraini,بحريني,Male,ذكر,Capital,العاصمة,84482
2015,Bahraini,بحريني,Female,انثى,Northern,الشمالية,112624
2015,Bahraini,بحريني,Female,انثى,Southern,الجنوبية,62491
2015,Non-Bahraini,غير بحريني,Male,ذكر,Capital,العاصمة,269184
2016,Bahraini,بحريني,Female,انثى,Capital,العاصمة,84044
2016,Bahraini,بحريني,Female,انثى,Muharraq,المحرق,62650
2016,Bahraini,بحريني,Female,انثى,Northern,الشمالية,117159
2016,Non-Bahraini,غير بحريني,Male,ذكر,Muharraq,المحرق,81005
2016,Non-Bahraini,غير بحريني,Male,ذكر,Northern,الشمالية,71769
2016,Non-Bahraini,غير بحريني,Female,انثى,Capital,العاصمة,96085
